,player_id,player_name,bat_style,bowl_style,field_pos,player_full_name,player_name2,player_image
97,7843,Fazalhaq Farooqi,Right hand Bat,Left arm Fast medium,Not Specifed,Fazalhaq Farooqi,Fazalhaq Farooqi,https://www.espncricinfo.com/cricketers/fazalhaq-farooqi-974175
98,7083,KR Sen,Right hand Bat,Right arm Fast,Not Specifed,Kuldeep Rampal Sen,Kuldeep Rampal,Not Available
99,3747,P Simran Singh,Right hand Bat, ,Wicketkeeper,Prabhsimran Singh,Prabhsimran Singh,https://www.espncricinfo.com/cricketers/prabhsimran-singh-1161024
100,5343,M Jansen,Right hand Bat,Left arm Medium fast,Not Specifed,Marco Jansen,Marco Jansen,https://www.espncricinfo.com/cricketers/marco-jansen-696401
101,5629,FA Allen,Right hand Bat,Slow Left arm Orthodox,Not Specifed,Fabian Anthony Allen,Fabian Anthony,Not Available
102,5935,Anuj Rawat,Left hand Bat, ,Not Specifed,Anuj Rawat,Anuj Rawat,https://www.espncricinfo.com/cricketers/anuj-rawat-1123073
103,7017,M Theekshana,Right hand Bat,Right arm Offbreak,Not Specifed,Morawakage Maheesh Theekshana,Morawakage Maheesh,Not Available
104,1833,JC Archer,Right hand Bat,Right arm Fast,Not Specifed,Jofra Chioke Archer,Jofra Chioke,Not Available
105,2142,DJ Willey,Left hand Bat,Left arm Fast medium,Not Specifed,David Jonathan Willey,David Jonathan,Not Available
106,1849,PP Shaw,Right hand Bat,Right arm Offbreak,Not Specifed,Prithvi Pankaj Shaw,Prithvi Pankaj,Not Available
107,6017,Umran Malik,Right hand Bat,Right arm Fast,Not Specifed,Umran Malik,Umran Malik,Not Available
108,2295,SP Goswami,Left hand Bat, ,Wicketkeeper,Shreevats Pratyush Goswami,Shreevats Pratyush,Not Available
109,3156,HF Gurney,Right hand Bat,Left arm Fast medium,Not Specifed,Harry Frederick Gurney,Harry Frederick,Not Available
110,2743,CA Ingram,Left hand Bat,Legbreak,Wicketkeeper,Colin Alexander Ingram,Colin Alexander,Not Available
111,6798,Mukesh Choudhary,Left hand Bat,Left arm Medium,Not Specifed,Mukesh Choudhary,Mukesh Choudhary,https://www.espncricinfo.com/cricketers/mukesh-choudhary-1125688
112,3214,SD Lad,Right hand Bat,Right arm Offbreak,Not Specifed,Siddhesh Dinesh Lad,Siddhesh Dinesh,Not Available
113,8305,J Little,Right hand Bat,Left arm Fast medium,Not Specifed,Joshua Brian Little,Joshua Brian,Not Available
114,8007,M Pathirana,Right hand Bat,Right arm Fast,Not Specifed,Matheesha Pathirana,Matheesha Pathirana,https://www.espncricinfo.com/cricketers/matheesha-pathirana-1194795
115,2701,S Dube,Left hand Bat,Right arm Medium,Not Specifed,Shivam Dube,Shivam Dube,https://www.espncricinfo.com/cricketers/shivam-dube-714451
116,3145,S Midhun,Right hand Bat,Legbreak Googly,Not Specifed,Sudhesan Midhun,Sudhesan Midhun,Not Available
117,2353,CJ Dala,Right hand Bat,Right arm Medium,Not Specifed,Carl Junior Dala,Carl Junior,Not Available
118,6729,PVD Chameera,Right hand Bat,Right arm Fast,Not Specifed,Pathira Vasan Dushmantha Chameera,Pathira Vasan,Not Available
119,4097,PK Garg,Right hand Bat,Right arm Medium,Not Specifed,Priyam K Garg,Priyam K,Not Available
120,7192,Aman Hakim Khan,Right hand Bat,Right arm Medium,Not Specifed,Aman Hakim Khan,Aman Hakim,Not Available
121,6734,MS Wade,Left hand Bat,Right arm Medium,Wicketkeeper,Matthew Scott Wade,Matthew Scott,Not Available
122,4310,Shahbaz Ahmed,Left hand Bat,Slow Left arm Orthodox,Not Specifed,Shahbaz Ahmed,Shahbaz Ahmed,Not Available
